ChEMBL ID,Name,SMILES
CHEMBL4297479,NESOLICAFTOR,C[C@@H](O)c1nnc([C@H]2C[C@H](NC(=O)c3cc(-c4ccccc4)no3)C2)o1
CHEMBL30,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
CHEMBL1201354,TRIDIHEXETHYL,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
CHEMBL592435,DERENOFYLLINE,OC1CCC(Nc2nc(-c3ccccc3)nc3[nH]ccc23)CC1
CHEMBL644,TRIMIPRAMINE,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21
CHEMBL1488165,PIDOTIMOD,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1
CHEMBL1580,PENTOSTATIN,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
CHEMBL3545017,GTX-758,O=C(c1ccc(O)c(F)c1)N(c1ccc(O)cc1)c1ccc(F)cc1
CHEMBL85685,CHRYSENE,c1ccc2c(c1)ccc1c3ccccc3ccc21
CHEMBL1739674,SOLYPERTINE,COc1ccccc1N1CCN(CCc2c[nH]c3cc4c(cc23)OCO4)CC1
CHEMBL2106838,MEFENOREX HYDROCHLORIDE,CC(Cc1ccccc1)NCCCCl.Cl
CHEMBL1884229,CYANAZINE,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
CHEMBL1908301,FOSFLUCONAZOLE,O=P(O)(O)OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL1614656,DENAVERINE,CCC(CC)COC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1
CHEMBL118218,IROFULVEN,CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1
