Chemical Name,SMILES,Binding
Sucralose,Cl[C@H]1[C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@]2(O[C@@H]([C@H]([C@@H]2O)O)CCl)CCl)CO,No
2-Phenylethyl beta-D-thiogalactoside,O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)OC1SCCc2ccccc2,No
myo-Inositol,O[C@@H]1[C@H]([C@H]([C@H]([C@@H]([C@H]1O)O)O)O)O,No
cis-Inositol,O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H]([C@@H]1O)O)O)O)O,No
epi-Inositol,O[C@@H]1[C@H]([C@H]([C@H]([C@H]([C@H]1O)O)O)O)O,No
DL-Glyceraldehyde,OC(CO)C=O,No
D-Glucosamine 3-sulfate,[S](=O)(=O)(O[C@H]1[C@@H]([C@H](OC([C@@H]1N)O)CO)O)O,No
"L-Galactono-1,4-lactone",O1[C@@H]([C@H]([C@@H](C1=O)O)O)[C@@H](O)CO,No
L-Ascorbic acid,O1[C@@H](C(C(=O)C1=O)O)[C@@H](O)CO,No
Melibiose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)O)O)O)O)O)O)O,No
Isomaltose,O1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)OC[C@H]2OC([C@@H]([C@H]([C@@H]2O)O)O)O,No
Palatinose hydrate,O1[C@@H]([C@H]([C@@H](C1(O)CO)O)O)CO[C@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO.O,No
Methyl beta-D-xylopyranoside,O[C@H]1[C@H](O)[C@@H](O)C(OC)OC1,No
N-Acetyl-D-lactosamine,N([C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O[C@@H]2O[C@@H]([C@@H]([C@@H]([C@H]2O)O)O)CO)O)C(=O)C,No
Ascorbyl Glucoside,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC2=C([C@H](OC2=O)[C@H](CO)O)O)O)O)O)O,No
L-(+)-Threose,O1C([C@H]([C@@H](C1)O)O)O,No
L(+)-Erythrose,C1[C@@H]([C@@H]([C@@H](O1)O)O)O,No
"3-deoxy-1,2,5,6-di-O-isopropylidene alpha-D-glucofuranose",CC1(OCC(O1)[C@@H]2C[C@@H]3[C@H](O2)OC(O3)(C)C)C,No
beta-Estradiol,O[C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)c4c(cc(cc4)O)CC3)CC1)C,No
alpha-D-Galactosamine 1-phosphate,OC[C@H]1OC(OP(O)(O)=O)[C@@H]([C@H]([C@H]1O)O)N,No
Dithranol,Oc1c2c(cc3c1c(ccc3)O)cccc2O,No
D-Glucosaminic acid,N[C@H]([C@@H](O)[C@H](O)[C@H](O)CO)C(=O)O,No
6-Deoxy-D-glucose,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,No
L-Rhamnose monohydrate,O[C@@H]1[C@H]([C@H](C(O[C@H]1C)O)O)O,No
D-(+)-Fucose,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O,No
alpha-D-Glucose 1-phosphate disodium salt hydrate,OC[C@@H](OC1OP([O-])([O-])=O)[C@H]([C@@H]([C@H]1O)O)O,No
L-(+)-Erythrulose,O[C@@H](CO)C(=O)CO,No
D-Erythronic acid gamma-lactone,O1C[C@H]([C@H](C1=O)O)O,No
